Titulo;E-ISSN;P-ISSN;Institución;Editora
Estudios Económicos;2525-1295;0425-368X;Universidad Nacional del Sur, Departamento de Economía, y CONICET, Instituto de Investigaciones Económicas y Sociales del Sur;Editorial de la Universidad Nacional del Sur (Ediuns)
Cuadernos de Extensión Universitaria de la UNLPam;2718-7500;2451-5930;null;Universidad Nacional de La Pampa. Secretaría de Cultura y Extensión Universitaria
Revista Administración Pública y Sociedad;2524-9568;null;Universidad Nacional de Córdoba (UNC), Facultad de Ciencias Sociales, Instituto de Investigación y Formación en Administración Pública (IIFAP);Universidad Nacional de Córdoba (UNC)
Semiárida;2408-4077;2362-4337;Universidad Nacional de La Pampa, Facultad de Agronomía;Universidad Nacional de La Pampa
Prudentia Iuris;2524-9525;0326-2774;Pontificia Universidad Católica Argentina, Facultad de Derecho;Pontificia Universidad Católica Argentina
Visión de Futuro;1668-8708;1669-7634;null;Universidad Nacional de Misiones
Revista Latinoamericana en Discapacidad, Sociedad y Derechos Humanos;2525-1643;null;Red Iberoamericana de Expertos sobre la Convención de los Derechos de las Personas con Discapacidad;Red Iberoamericana de Expertos sobre la Convención de los Derechos de las Personas con Discapacidad
Acta Zoológica Lilloana;1852-6098;0065-1729;Fundación Miguel Lillo;Fundación Mguel Lillo
Revista del Hospital de Niños;null;0521-517X;Hospital de Niños Ricardo Gutiérrez;Asociación de Profesionales del Hospital de Niños R. Gutiérez
Austral Comunicación;2313-9137;2313-9129;Universidad Austral Argentina, Facultad de Comunicación;Universidad Austral Argentina
Nuevo Pensamiento;1853-7596;null;Universidad del Salvador,Instituto de Investigaciones Filosóficas de la Facultad de Filosofía, Historia, Letras y Estudios Orientales;Universidad del Salvador
Revista Estudios Ambientales;2347-0941;null;Universidad Nacional del Centro de la Provincia de Buenos Aires Facultad de Ciencias Humanas Centro de Investigaciones y Estudios Ambientales;Universidad Nacional del Centro de la Provincia de Buenos Aires
Diferencia(s);2469-1100;null;Universidad de Buenos Aires, Facultad de Ciencias Sociales, Instituto de Investigaciones Gino Germani, Grupo De Estudios Sobre Estructuralismo Y Posestructuralismo;Universidad de Buenos Aires
El Taco en la Brea;2362-4191;null;null;Universidad Nacional del Litoral
Horticultura Argentina;1851-9342;0327-3431;Asociación Argentina de Horticultura (ASAHO);Asociación Argentina de Horticultura (ASAHO)
Revista de Historia Americana y Argentina;2314-1549;0556-5960;null;Instituto de Historia Americana y Argentina. Facultad de Filosofía y Letras. Universidad Nacional de Cuyo
Revista de Economía y Estadística;2451-7321;0034-8066;Universidad Nacional de Córdoba, Facultad de Ciencias Económicas, Instituto de Economía y Finanzas;Universidad Nacional de Córdoba
Raigal;2469-1216;null;Universidad Nacional de Villa María, Instituto Académico Pedagógico de Ciencias Sociales;Universidad Nacional de Villa María
Revista Digital de Políticas Lingüísticas;1853-3256;null;Universidad Nacional de Córdoba, Facultad de Lenguas;Asociación de Universidades Grupo Montevideo
Psicodebate;2451-6600;1515-2251;null;Universidad de Palermo
Extensión en Red;1852-9569;null;Universidad Nacional de La Plata, Facultad de Periodismo y Comunicación Social;Universidad Nacional de La Plata
Cuadernos de Antropología Social;1850-275X;0327-3776;null;Universidad de Buenos Aires
Divulgatio;2591-3530;null;Universidad Nacional de Quilmes, Secretaría de Posgrado;Universidad Nacional de Quilmes
Publicación Electrónica de la Asociación Paleontológica Argentina;2469-0228;null;Asociación Paleontológica Argentina;Asociación Paleontológica Argentina
Badebec;1853-9580;null;Universidad Nacional de Rosario, Facultad de Humanidades y Artes, Centro de Estudios de Teoría y Crítica Literaria;Universidad Nacional de Rosario
Cuadernos del CIMBAGE;1669-1830;1666-5112;Universidad de Buenos Aires. Facultad de Ciencias Económicas. Instituto de Investigaciones en Administración, Contabilidad y Métodos Cuantitativos para la Gestión. Centro de Investigación en Metodologías Básicas y Aplicadas a la Gestión;Universidad de Buenos Aires
Saberes y Prácticas: Revista de Filosofía y Educación;2525-2089;null;null;Centro de Investigaciones Interdisciplinarias de Filosofía en la Escuela, Facultad de Filosofía y Letras, Universidad Nacional de Cuyo
Educación Física y Ciencia;2314-2561;1514-0105;Facultad de Humanidades y Ciencias de la Educación, Departamento de Educación Física;Universidad Nacional de La Plata
